participant	study	session_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
20041	BHRC	2	-62			1	1	1	1	Pass
20043	BHRC	1	-69	1	1				1	Pass
20043	BHRC	2	-75		1	1		1	1	Pass
20046	BHRC	1	-84	1			1		1	Pass
20047	BHRC	1	-50	1			1		1	Pass
20047	BHRC	2	-72	1			1		1	Pass
20048	BHRC	1	-203	0.75			0.5		0.625	Artifact
20048	BHRC	2	-86		0.75	1		1	0.916666667	Artifact
20050	BHRC	1	-45	1	1				1	Pass
20054	BHRC	1	-78	1			1		1	Pass
20054	BHRC	2	-64	1	1	1	1	1	1	Pass
20062	BHRC	1	-74			1	1	1	1	Pass
20065	BHRC	1	-52	1	1	1	1	1	1	Pass
20065	BHRC	2	-50	1	1	1	1	1	1	Pass
20067	BHRC	1	-60	1			1		1	Pass
20067	BHRC	2	-79		1	1		1	1	Pass
20071	BHRC	1	-79	1	1	1	1	1	1	Pass
20071	BHRC	2	-61	1			1		1	Pass
20072	BHRC	1	-46	1			1		1	Pass
20072	BHRC	2	-40			1	1	1	1	Pass
20073	BHRC	2	-58			1	1	1	1	Pass
20076	BHRC	2	-58	1	1				1	Pass
20080	BHRC	1	-44	1	1				1	Pass
20080	BHRC	2	-43	1	1				1	Pass
20082	BHRC	1	-69	1			1		1	Pass
20082	BHRC	2	-43		1	1		1	1	Pass
20083	BHRC	1	-40	1	1	1	1	1	1	Pass
20085	BHRC	1	-74			1	1	1	1	Pass
20089	BHRC	1	-79	1			1		1	Pass
20091	BHRC	1	-74	1			1		1	Pass
20091	BHRC	2	-86			1	1	1	1	Pass
20092	BHRC	2	-89		1	1		1	1	Pass
20095	BHRC	1	-91	1	1	1	1	1	1	Pass
20095	BHRC	2	-87			1	1	1	1	Pass
20096	BHRC	1	-74	1			1		1	Pass
20096	BHRC	2	-64	1	1				1	Pass
20097	BHRC	1	-70			1	1	0.5	0.833333333	Artifact
20097	BHRC	2	-63		1	1		1	1	Pass
20099	BHRC	1	-48			1	1	1	1	Pass
20105	BHRC	2	-23	1			1		1	Pass
20119	BHRC	1	-82	1			1		1	Pass
20130	BHRC	1	-81	1	1				1	Pass
20130	BHRC	2	-84	1	1				1	Pass
20136	BHRC	1	-65	1			1		1	Pass
20139	BHRC	1	-88			1	1	1	1	Pass
20141	BHRC	1	-49	1			1		1	Pass
20146	BHRC	1	-92			1	1	1	1	Pass
20146	BHRC	2	-58			1	1	1	1	Pass
20149	BHRC	2	-56			1	1	1	1	Pass
20150	BHRC	1	-85			1	1	1	1	Pass
20150	BHRC	2	-96			1	1	1	1	Pass
20157	BHRC	1	-96	1	1				1	Pass
20157	BHRC	2	-81		1	1		1	1	Pass
20160	BHRC	1	-83	1	1				1	Pass
